Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PYPL,125.43,Call,127.00,05/08/20,3,2.63,2.75,2.87,2.69,1541,269,5.73,74.76%,05/05/20
NVDA,293.74,Put,297.50,05/08/20,3,6.70,7.05,7.40,7.30,1229,215,5.72,48.88%,05/05/20
C,43.95,Put,49.00,05/08/20,3,5.00,5.08,5.15,5.00,640,112,5.71,32.55%,05/05/20
AAPL,297.56,Call,312.50,05/15/20,10,0.90,0.94,0.98,1.00,1960,344,5.7,27.38%,05/05/20
NOW,370.64,Call,375.00,05/08/20,3,4.70,5.1,5.50,5.00,1229,216,5.69,51.53%,05/05/20
ATVI,68.53,Put,67.00,05/08/20,3,1.44,1.63,1.82,1.55,714,126,5.67,91.23%,05/05/20
BA,125.4,Call,127.00,05/08/20,3,3.20,3.3,3.40,3.34,1155,204,5.66,89.51%,05/05/20
DIS,101.06,Call,108.00,05/08/20,3,0.95,1.06,1.17,0.98,8454,1495,5.65,89.21%,05/05/20
CAR,13.88,Call,23.00,01/15/21,255,2.15,2.55,2.95,2.50,2050,364,5.63,101.76%,05/05/20
ABT,93.03,Call,94.00,05/08/20,3,0.83,0.87,0.90,0.85,1006,179,5.62,37.63%,05/05/20
MSFT,180.76,Call,182.50,05/08/20,3,1.26,1.31,1.35,1.35,37566,6685,5.62,31.95%,05/05/20
MVIS,1.3,Call,2.00,06/19/20,45,0.30,0.4,0.50,0.48,1824,325,5.61,366.42%,05/05/20
F,4.97,Put,4.50,06/19/20,45,0.27,0.28,0.28,0.28,26327,4720,5.58,72.91%,05/05/20
SMG,130.43,Call,140.00,05/15/20,10,1.65,1.83,2.00,1.73,633,114,5.55,57.73%,05/05/20
TTWO,125.28,Call,130.00,09/18/20,136,10.00,10.25,10.50,10.70,836,151,5.54,40.86%,05/05/20
BA,125.4,Call,137.00,05/08/20,3,0.74,0.78,0.82,0.77,2654,480,5.53,90.44%,05/05/20
BYND,100.16,Call,99.00,05/08/20,3,5.60,7.3,9.00,7.50,856,155,5.52,191.80%,05/05/20
AAPL,297.56,Put,270.00,06/05/20,31,2.27,3.64,5.00,3.00,1035,188,5.51,37.00%,05/05/20
QCOM,77.63,Call,79.00,05/15/20,10,1.50,1.59,1.68,1.52,1168,213,5.48,41.08%,05/05/20
BYND,100.16,Put,94.00,05/08/20,3,3.75,3.98,4.20,4.16,596,109,5.47,194.13%,05/05/20
OXY,15.32,Put,17.00,05/08/20,3,1.92,2.06,2.20,1.90,1500,274,5.47,136.13%,05/05/20
NCLH,11.18,Call,12.50,05/08/20,3,0.45,0.48,0.50,0.47,2061,377,5.47,232.61%,05/05/20
PYPL,125.43,Put,113.00,05/08/20,3,0.20,0.23,0.26,0.25,1596,293,5.45,77.33%,05/05/20
OXY,15.32,Put,15.50,05/08/20,3,0.90,0.93,0.95,0.94,1709,314,5.44,152.25%,05/05/20
SNAP,17.51,Call,18.00,10/16/20,164,2.41,2.45,2.48,2.46,5484,1008,5.44,56.26%,05/05/20
BYND,100.16,Call,104.00,05/08/20,3,5.00,5.18,5.35,5.19,1048,193,5.43,188.15%,05/05/20
TSLA,768.21,Call,800.00,05/08/20,3,9.00,9.25,9.50,9.16,26336,4855,5.42,75.40%,05/05/20
TSLA,768.21,Call,850.00,05/08/20,3,2.51,2.57,2.62,2.55,18319,3394,5.4,83.23%,05/05/20
MYGN,14.82,Put,12.00,06/19/20,45,1.10,1.18,1.25,1.25,4720,876,5.39,129.89%,05/05/20
DIS,101.06,Put,93.00,05/08/20,3,0.88,0.94,1.00,0.91,2848,530,5.37,102.44%,05/05/20
ZM,144.82,Put,147.00,05/08/20,3,5.10,5.4,5.70,5.43,554,104,5.33,80.76%,05/05/20
DVN,11.18,Put,11.50,05/08/20,3,0.66,0.72,0.77,0.71,751,141,5.33,130.68%,05/05/20
INTC,58.75,Call,50.00,05/15/20,10,8.65,8.8,8.95,8.80,14299,2685,5.33,47.69%,05/05/20
PLNT,57.08,Put,52.50,06/19/20,45,4.00,4.55,5.10,4.30,628,118,5.32,83.31%,05/05/20
BYND,100.16,Call,108.00,05/08/20,3,3.90,4.03,4.15,4.15,633,119,5.32,197.38%,05/05/20
SQ,66.69,Put,62.00,05/08/20,3,0.84,0.9,0.95,0.95,2823,531,5.32,114.65%,05/05/20
MSFT,180.76,Put,185.00,05/08/20,3,4.55,4.88,5.20,5.00,1139,215,5.3,34.78%,05/05/20
SQ,66.69,Call,68.50,05/15/20,10,2.20,2.38,2.55,2.54,1160,220,5.27,75.28%,05/05/20
REGN,574.37,Call,540.00,08/21/20,108,67.50,69.5,71.50,69.66,579,110,5.26,40.94%,05/05/20
SHOP,686.11,Call,760.00,05/08/20,3,6.50,9.6,12.70,9.79,810,154,5.26,133.99%,05/05/20
FLWS,20.72,Call,19.00,06/19/20,45,2.55,2.65,2.75,2.70,1284,244,5.26,60.64%,05/05/20
NET,24.51,Put,20.00,06/19/20,45,0.65,0.73,0.80,0.65,1018,194,5.25,71.71%,05/05/20
NCLH,11.18,Put,9.50,05/15/20,10,0.75,0.78,0.80,0.78,838,160,5.24,217.12%,05/05/20
EA,119.61,Call,118.00,05/08/20,3,4.40,4.98,5.55,4.35,878,168,5.23,80.98%,05/05/20
KR,32.81,Call,33.50,05/08/20,3,0.09,0.14,0.19,0.15,1569,300,5.23,33.67%,05/05/20
TSLA,768.21,Call,775.00,05/15/20,10,34.75,35.3,35.85,35.85,4105,785,5.23,76.65%,05/05/20
CSCO,41.46,Call,42.50,05/08/20,3,0.16,0.18,0.20,0.20,8051,1541,5.22,37.91%,05/05/20
PTON,36.22,Call,41.00,05/08/20,3,1.07,1.15,1.22,1.15,617,119,5.18,211.25%,05/05/20
GOOG,1351.11,Call,1400.00,05/08/20,3,1.60,2.13,2.65,1.80,1815,354,5.13,30.50%,05/05/20
